"""EQUIP_ID""","""EQUIP_NAME""","""EQUIP_TYPE""","""VOLTAGE_TYPE""","""FEEDER_ID""","""DSUBSTATION_ID""","""COMPOSITESWITCH"""
TMP00003760,开关00001,1705,1010,TMP00000160,TMP00000303,TMP00267645
TMP00003761,开关00001,1705,1010,TMP00000039,TMP00000321,TMP00172310
TMP00003762,开关00002,1705,1010,TMP00000039,TMP00000321,TMP00172298
TMP00003763,开关00001,1705,1010,TMP00000120,null,null
TMP00003764,开关00002,1705,1010,TMP00000120,null,null
TMP00003765,开关00003,1705,1010,TMP00000120,null,null
TMP00003766,开关00004,1705,1010,TMP00000120,TMP00000342,TMP00181544
TMP00003767,开关00005,1705,1010,TMP00000120,TMP00000342,TMP00181545
TMP00003768,开关00006,1705,1010,TMP00000120,TMP00000342,TMP00181538
TMP00003776,开关00001,1705,1010,TMP00000136,null,null
TMP00003777,开关00002,1705,1010,TMP00000136,null,null
TMP00003778,开关00003,1705,1010,TMP00000136,null,null
TMP00003779,开关00004,1705,1010,TMP00000136,null,null
TMP00003780,开关00005,1705,1010,TMP00000136,null,null
TMP00003781,开关00006,1705,1010,TMP00000136,null,null
TMP00003782,开关00007,1705,1010,TMP00000136,null,null
TMP00003783,开关00008,1705,1010,TMP00000136,null,null
TMP00003784,开关00009,1705,1010,TMP00000136,null,null
TMP00003785,开关00001,1705,1010,TMP00000005,null,null
TMP00003786,开关00002,1705,1010,TMP00000005,null,null
TMP00003787,开关00003,1705,1010,TMP00000005,null,null
TMP00003788,开关00004,1705,1010,TMP00000005,null,null
TMP00003789,开关00005,1705,1010,TMP00000005,null,null
TMP00003790,开关00006,1705,1010,TMP00000005,null,null
TMP00003791,开关00007,1705,1010,TMP00000005,null,null
TMP00003792,开关00001,1705,1010,TMP00000009,null,null
TMP00003793,开关00001,1705,1010,TMP00000055,TMP00000417,TMP00226210
TMP00003794,开关00002,1705,1010,TMP00000055,TMP00000417,TMP00226209
TMP00003795,开关00003,1705,1010,TMP00000055,TMP00000417,TMP00226208
TMP00003796,开关00004,1705,1010,TMP00000055,TMP00000417,TMP00226205
TMP00003797,开关00005,1705,1010,TMP00000055,TMP00000417,TMP00226211
TMP00003798,开关00006,1705,1010,TMP00000055,TMP00000417,TMP00226228
TMP00003799,开关00007,1705,1010,TMP00000055,TMP00000417,TMP00226197
TMP00003800,开关00008,1705,1010,TMP00000055,TMP00000417,TMP00226227
TMP00003801,开关00009,1705,1010,TMP00000055,TMP00000417,TMP00226225
TMP00003802,开关00010,1705,1010,TMP00000055,TMP00000417,TMP00226223
TMP00003803,开关00011,1705,1010,TMP00000055,TMP00000417,TMP00226222
TMP00003804,开关00012,1705,1010,TMP00000055,TMP00000417,TMP00226221
TMP00003805,开关00013,1705,1010,TMP00000055,TMP00000417,TMP00226212
TMP00003806,开关00001,1705,1010,TMP00000014,null,null
TMP00003807,开关00001,1705,1010,TMP00000021,null,null
TMP00003808,开关00002,1705,1010,TMP00000021,TMP00000444,TMP00192779
TMP00003809,开关00003,1705,1010,TMP00000021,TMP00000444,TMP00192775
TMP00003810,开关00004,1705,1010,TMP00000021,TMP00000444,TMP00192771
TMP00003811,开关00005,1705,1010,TMP00000021,TMP00000444,TMP00192769
TMP00003812,开关00006,1705,1010,TMP00000021,TMP00000444,TMP00192762
TMP00003813,开关00001,1705,1010,TMP00000056,null,null
TMP00003814,开关00002,1705,1010,TMP00000056,null,null
TMP00003815,开关00003,1705,1010,TMP00000056,TMP00000445,TMP00255132
TMP00003816,开关00004,1705,1010,TMP00000056,TMP00000446,TMP00255138
TMP00003817,开关00001,1705,1010,TMP00000017,null,null
TMP00003818,开关00001,1705,1010,TMP00000019,TMP00000461,TMP00282459
TMP00003819,开关00001,1705,1010,TMP00000020,TMP00000468,TMP00151109
TMP00003820,开关00002,1705,1010,TMP00000020,TMP00000469,TMP00151114
TMP00003821,开关00003,1705,1010,TMP00000020,TMP00000470,null
TMP00003822,开关00004,1705,1010,TMP00000020,TMP00000470,null
TMP00003823,开关00005,1705,1010,TMP00000020,TMP00000470,null
TMP00003824,开关00006,1705,1010,TMP00000020,TMP00000470,null
TMP00003825,开关00007,1705,1010,TMP00000020,TMP00000470,null
TMP00003826,开关00008,1705,1010,TMP00000020,TMP00000470,null
TMP00003827,开关00009,1705,1010,TMP00000020,TMP00000470,null
TMP00003828,开关00010,1705,1010,TMP00000020,TMP00000470,null
TMP00003829,开关00011,1705,1010,TMP00000020,TMP00000470,null
TMP00003840,开关00001,1705,1010,TMP00000111,TMP00000492,null
TMP00003841,开关00002,1705,1010,TMP00000014,null,null
TMP00003842,开关00003,1705,1010,TMP00000014,null,null
TMP00003843,开关00001,1705,1010,TMP00000027,null,null
TMP00003844,开关00004,1705,1010,TMP00000014,null,null
TMP00003845,开关00005,1705,1010,TMP00000014,null,null
TMP00003846,开关00002,1705,1010,TMP00000027,TMP00003664,null
TMP00003847,开关00003,1705,1010,TMP00000027,TMP00003664,null
TMP00003848,开关00004,1705,1010,TMP00000027,TMP00003664,null
TMP00003849,开关00005,1705,1010,TMP00000027,TMP00003664,null
TMP00003850,开关00001,1705,1010,TMP00000084,TMP00000551,TMP00156393
TMP00003851,开关00002,1705,1010,TMP00000084,TMP00000551,TMP00156395
TMP00003852,开关00003,1705,1010,TMP00000084,TMP00000551,TMP00156394
TMP00003853,开关00004,1705,1010,TMP00000084,TMP00000551,TMP00156383
TMP00003854,开关00005,1705,1010,TMP00000084,TMP00000551,TMP00156384
TMP00003855,开关00006,1705,1010,TMP00000084,TMP00000551,TMP00156381
TMP00003856,开关00007,1705,1010,TMP00000084,TMP00000551,TMP00156397
TMP00003857,开关00008,1705,1010,TMP00000084,TMP00000551,TMP00156377
TMP00003858,开关00001,1705,1010,TMP00000030,null,null
TMP00003859,开关00002,1705,1010,TMP00000030,TMP00000561,TMP00305405
TMP00003860,开关00003,1705,1010,TMP00000030,TMP00000561,TMP00305402
