"""NUM""","""TRAN_ID""","""DATA_DATE""","""UA""","""UB""","""UC""","""IA""","""IB""","""IC""","""AP""","""RP""","""POINT""","""BDZ_ID""","""FEEDER_ID"""
1,TMP00003760,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.62,50.00,0.00,0.00,0,TMP00000197,TMP00000160
59,TMP00003761,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,25.00,30.00,0.00,0.00,1,TMP00000191,TMP00000039
60,TMP00003762,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,25.00,30.00,0.00,0.00,1,TMP00000191,TMP00000039
61,TMP00003763,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.66,53.00,0.00,0.00,1,TMP00000191,TMP00000120
62,TMP00003766,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,57.60,-57.60,1,TMP00000191,TMP00000120
63,TMP00003767,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,-7.20,0.00,0,TMP00000191,TMP00000120
64,TMP00003768,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-28.80,1,TMP00000191,TMP00000120
75,TMP00003776,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.66,53.00,0.00,0.00,1,TMP00000193,TMP00000136
76,TMP00003778,2026-06-22_12:00:00,0.00,0.00,0.00,104.50,106.69,104.09,1.78,0.54,1,TMP00000193,TMP00000136
77,TMP00003779,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.66,26.45,0.00,0.00,1,TMP00000193,TMP00000136
78,TMP00003780,2026-06-22_12:00:00,0.00,0.00,0.00,13.80,12.80,13.60,0.22,0.05,1,TMP00000193,TMP00000136
79,TMP00003781,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.66,53.00,0.00,0.00,1,TMP00000193,TMP00000136
80,TMP00003782,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.66,53.00,0.00,0.00,1,TMP00000193,TMP00000136
81,TMP00003784,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,7.65,3.77,0.00,0.00,1,TMP00000193,TMP00000136
107,TMP00003808,2026-06-22_12:00:00,0.00,0.00,0.00,1.44,1.92,1.92,-1.20,0.00,1,TMP00000192,TMP00000021
108,TMP00003809,2026-06-22_12:00:00,0.00,0.00,0.00,0.24,0.48,0.36,0.00,0.00,1,TMP00000192,TMP00000021
109,TMP00003810,2026-06-22_12:00:00,0.00,0.00,0.00,0.24,0.48,0.48,0.00,0.00,1,TMP00000192,TMP00000021
110,TMP00003811,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000192,TMP00000021
111,TMP00003812,2026-06-22_12:00:00,0.00,0.00,0.00,0.60,0.60,0.72,0.00,0.00,1,TMP00000192,TMP00000021
112,TMP00003822,2026-06-22_12:00:00,0.00,0.00,0.00,36.60,31.20,37.20,594.00,162.00,1,TMP00000191,TMP00000020
113,TMP00003823,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
114,TMP00003824,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
115,TMP00003825,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
116,TMP00003826,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
117,TMP00003827,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
118,TMP00003828,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,TMP00000191,TMP00000020
119,TMP00003829,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,7.89,5.91,0.00,0.00,1,TMP00000191,TMP00000020
120,TMP00003830,2026-06-22_12:00:00,0.00,0.00,0.00,30.00,0.00,0.00,168.00,66.00,1,TMP00000191,TMP00000020
121,TMP00003831,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,TMP00000191,TMP00000020
122,TMP00003832,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
123,TMP00003833,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
124,TMP00003834,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
125,TMP00003835,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
126,TMP00003836,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
127,TMP00003837,2026-06-22_12:00:00,0.00,0.00,0.00,46.20,44.40,46.20,750.00,186.00,1,TMP00000191,TMP00000020
128,TMP00003838,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000191,TMP00000020
202,TMP00003841,2026-06-22_12:00:00,0.00,0.00,0.00,4.30,4.50,4.20,0.07,0.03,1,TMP00000193,TMP00000014
974,TMP00003859,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000193,TMP00000030
975,TMP00003860,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,TMP00000193,TMP00000030
976,TMP00003861,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,26.61,0.00,0.00,0.00,0,TMP00000193,TMP00000030
977,TMP00003862,2026-06-22_12:00:00,0.00,0.00,0.00,0.10,0.10,0.10,0.00,0.00,1,TMP00000193,TMP00000030
978,TMP00003863,2026-06-22_12:00:00,0.00,0.00,0.00,0.10,0.10,0.10,0.00,0.00,1,TMP00000193,TMP00000030
979,TMP00003864,2026-06-22_12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,TMP00000193,TMP00000030
1145,TMP00003956,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.62,50.00,0.00,0.00,0,TMP00000195,TMP00000131
1146,TMP00003957,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.62,50.00,0.00,0.00,0,TMP00000195,TMP00000131
1147,TMP00003958,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.62,50.00,0.00,0.00,1,TMP00000195,TMP00000131
1148,TMP00003960,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.62,50.00,0.00,0.00,0,TMP00000195,TMP00000131
1399,TMP00003970,2026-06-22_12:00:00,0.00,0.00,0.00,25.65,26.66,53.00,0.00,0.00,0,TMP00000195,TMP00000032
