"""OBJ_ID""","""OBJ_CODE""","""OBJ_CNNAME""","""OBJ_ENNAME"""
DEV_1108,1108,汇集线,CONVERGENCELINE
DEV_1301,1301,母线,BUSBAR
DEV_1311,1311,变压器,PWRTRANSFM
DEV_1313,1313,电流互感器,CT
DEV_1314,1314,电压互感器,PT
DEV_1317,1317,站用变,TERM
DEV_1318,1318,接地变,EARTHINGTRANSFORMER
DEV_1321,1321,断路器,BREAKER
DEV_1322,1322,隔离开关,DIS
DEV_1323,1323,接地刀闸,GROUNDDIS
DEV_1325,1325,消弧线圈,ARCSUPPRESSIONCO
DEV_1328,1328,避雷器,ARRESTER
DEV_1401,1401,并联电抗器,SHUNTREACTOR
DEV_1402,1402,并联电容器,SHUNTCAPACITOR
DEV_1702,1702,馈线段,LOWVOLLINE
DEV_1703,1703,配网变压器,DPWRTRANSFM
DEV_1704,1704,配网电抗器,DSEAIESREACTOR
DEV_1705,1705,配网断路器,DBREAKER
DEV_1706,1706,配网负荷开关,DLOADSWITCH
DEV_1707,1707,配网熔断器,DFUSE
DEV_1708,1708,配网刀闸,DDIS
DEV_1709,1709,配网接地刀闸,DGROUNDDIS
DEV_1710,1710,配网母线段,DBUS
DEV_1713,1713,配网电压互感器,DPT
DEV_1714,1714,配网杆塔,DPOLE
DEV_1719,1719,配网电力用户,DCUSTOMER
DEV_1720,1720,组合开关,COMPOSITESWITCH
