"""LINEEND_ID""","""LINEEND_NAME""","""VOLTAGE_TYPE""","""ST_ID"""
TMP00000188,203LINE001_线,1010,TMP00000198
TMP00000189,211LINE002_线,1010,TMP00000199
TMP00048716,10kV.LINE003_181线,1010,TMP00000190
TMP00048717,10kV.LINE004_183线,1010,TMP00000190
TMP00048718,10kV.LINE005_184线,1010,TMP00000190
TMP00048719,10kV.LINE006_185线,1010,TMP00000190
TMP00048720,10kV.LINE007_186线,1010,TMP00000190
TMP00048721,10kV.LINE008_187线,1010,TMP00000190
TMP00048722,10kV.LINE009_188线,1010,TMP00000190
TMP00048724,10kV.LINE010_182线,1010,TMP00000190
TMP00048725,10kV.LINE011_189线,1010,TMP00000190
TMP00048726,10kV.LINE012_123线,1010,TMP00000193
TMP00048727,10kV.LINE013_122线,1010,TMP00000193
TMP00048728,10kV.LINE014_121线,1010,TMP00000193
TMP00048729,10kV.LINE015_161线,1010,TMP00000191
TMP00048730,10kV.LINE016_162线,1010,TMP00000191
TMP00048731,10kV.LINE017_163线,1010,TMP00000191
TMP00048732,10kV.LINE018_164线,1010,TMP00000191
TMP00048733,10kV.LINE019_165线,1010,TMP00000191
TMP00048734,10kV.LINE020_166线,1010,TMP00000191
TMP00048735,10kV.LINE021_167线,1010,TMP00000191
TMP00048736,10kV.LINE022_168线,1010,TMP00000191
TMP00048737,10kV.LINE023_169线,1010,TMP00000191
TMP00048738,10kV.LINE024_174线,1010,TMP00000191
TMP00048739,10kV.LINE025_172线,1010,TMP00000191
TMP00048740,10kV.LINE026_173线,1010,TMP00000191
TMP00048741,10kV.接地变157线,1010,TMP00000191
TMP00048742,10kV.LINE027_171线,1010,TMP00000190
TMP00048743,10kV.LINE028_192线,1010,TMP00000190
TMP00048744,10kV.LINE029_193线,1010,TMP00000190
TMP00048745,10kV.LINE030_194线,1010,TMP00000190
TMP00048746,10kV.LINE031_195线,1010,TMP00000190
TMP00048747,10kV.LINE032_196线,1010,TMP00000190
TMP00048748,10kV.LINE033_197线,1010,TMP00000190
TMP00048749,10kV.LINE034_198线,1010,TMP00000190
TMP00048750,10kV.LINE035_199线,1010,TMP00000190
TMP00048752,10kV.LINE036_161线,1010,TMP00000190
TMP00048753,10kV.LINE037_162线,1010,TMP00000190
TMP00048754,10kV.LINE038_163线,1010,TMP00000190
TMP00048755,10kV.LINE039_164线,1010,TMP00000190
TMP00048756,10kV.LINE040_165线,1010,TMP00000190
TMP00048757,10kV.LINE041_166线,1010,TMP00000190
TMP00048758,10kV.LINE042_181线,1010,TMP00000194
TMP00048759,10kV.LINE043_182线,1010,TMP00000194
TMP00048760,10kV.LINE044_183线,1010,TMP00000194
TMP00048761,10kV.LINE045_184线,1010,TMP00000194
TMP00048762,10kV.LINE031_185线,1010,TMP00000194
TMP00048763,10kV.LINE046_186线,1010,TMP00000194
TMP00048764,10kV.LINE047_187线,1010,TMP00000194
TMP00048765,10kV.LINE048_188线,1010,TMP00000194
TMP00048766,10kV.LINE049_189线,1010,TMP00000194
TMP00048767,10kV.LINE050_191线,1010,TMP00000194
TMP00048768,10kV.LINE051_157线,1010,TMP00000194
TMP00048769,10kV.2号站书变,1010,TMP00000191
TMP00048770,10kV.LINE052_171线,1010,TMP00000191
TMP00048771,10kV.LINE053_175线,1010,TMP00000191
TMP00048772,10kV.LINE054_176线,1010,TMP00000191
TMP00048773,10kV.LINE055_177线,1010,TMP00000191
TMP00048774,10kV.LINE056_178线,1010,TMP00000191
TMP00048775,10kV.LINE057_179线,1010,TMP00000191
TMP00048776,10kV.LINE058_181线,1010,TMP00000191
TMP00048777,10kV.LINE059_182线,1010,TMP00000191
TMP00048778,10kV.LINE060_183线,1010,TMP00000191
TMP00048779,10kV.LINE061_184线,1010,TMP00000191
TMP00048780,10kV.LINE062_175线,1010,TMP00000194
TMP00048781,10kV.LINE063_174线,1010,TMP00000194
TMP00048782,10kV.LINE064_173线,1010,TMP00000194
TMP00048783,10kV.LINE065_172线,1010,TMP00000194
TMP00048784,10kV.LINE066_171线,1010,TMP00000194
TMP00048785,10kV.LINE067_195线,1010,TMP00000194
TMP00048786,10kV.LINE068_194线,1010,TMP00000194
TMP00048787,10kV.LINE069_193线,1010,TMP00000194
TMP00048788,10kV.LINE070_192线,1010,TMP00000194
TMP00048789,10kV.2号所变107线,1010,TMP00000194
TMP00048790,10kV.接地变1579线,1010,TMP00000191
TMP00048792,10kV.LINE071_191线,1010,TMP00000190
TMP00048793,10kV.LINE072_172线,1010,TMP00000190
TMP00048794,10kV.LINE073_173线,1010,TMP00000190
TMP00048795,10kV.LINE074_174线,1010,TMP00000190
TMP00048796,10kV.LINE075_175线,1010,TMP00000190
TMP00048797,10kV.LINE076_131线,1010,TMP00000193
TMP00048798,10kV.LINE077_132线,1010,TMP00000193
