"""CREATE_DATE""","""ID""","""MEAS_TYPE""","""V2000"""
2026-06-22 12:00:00,TMP00048716,2001,1.8753
2026-06-22 12:00:00,TMP00048716,2401,105.4572
2026-06-22 12:00:00,TMP00048717,2001,0.5722
2026-06-22 12:00:00,TMP00048717,2401,31.7752
2026-06-22 12:00:00,TMP00048718,2001,1.2471
2026-06-22 12:00:00,TMP00048718,2401,74.5852
2026-06-22 12:00:00,TMP00048719,2001,0.8944
2026-06-22 12:00:00,TMP00048719,2401,48.6487
2026-06-22 12:00:00,TMP00048720,2001,0.6818
2026-06-22 12:00:00,TMP00048720,2401,113.9019
2026-06-22 12:00:00,TMP00048721,2001,1.8100
2026-06-22 12:00:00,TMP00048721,2401,105.5584
2026-06-22 12:00:00,TMP00048722,2001,1.1674
2026-06-22 12:00:00,TMP00048722,2401,67.3909
2026-06-22 12:00:00,TMP00048724,2001,0.5523
2026-06-22 12:00:00,TMP00048724,2401,31.3970
2026-06-22 12:00:00,TMP00048725,2001,1.9214
2026-06-22 12:00:00,TMP00048725,2401,113.1634
2026-06-22 12:00:00,TMP00048726,2001,0.3075
2026-06-22 12:00:00,TMP00048726,2401,16.8791
2026-06-22 12:00:00,TMP00048727,2001,0.3471
2026-06-22 12:00:00,TMP00048727,2401,19.5165
2026-06-22 12:00:00,TMP00048728,2001,3.0663
2026-06-22 12:00:00,TMP00048728,2401,175.4724
2026-06-22 12:00:00,TMP00048729,2001,1.1936
2026-06-22 12:00:00,TMP00048729,2401,66.8131
2026-06-22 12:00:00,TMP00048730,2001,4.5005
2026-06-22 12:00:00,TMP00048730,2401,275.5162
2026-06-22 12:00:00,TMP00048731,2001,2.2533
2026-06-22 12:00:00,TMP00048731,2401,121.6702
2026-06-22 12:00:00,TMP00048732,2001,1.1419
2026-06-22 12:00:00,TMP00048732,2401,60.4835
2026-06-22 12:00:00,TMP00048733,2001,1.4098
2026-06-22 12:00:00,TMP00048733,2401,76.3076
2026-06-22 12:00:00,TMP00048734,2001,0.9379
2026-06-22 12:00:00,TMP00048734,2401,60.1318
2026-06-22 12:00:00,TMP00048735,2001,0
2026-06-22 12:00:00,TMP00048735,2401,2.4615
2026-06-22 12:00:00,TMP00048736,2001,1.0170
2026-06-22 12:00:00,TMP00048736,2401,59.2527
2026-06-22 12:00:00,TMP00048737,2001,1.9701
2026-06-22 12:00:00,TMP00048737,2401,110.4175
2026-06-22 12:00:00,TMP00048738,2001,1.5925
2026-06-22 12:00:00,TMP00048738,2401,90.9010
2026-06-22 12:00:00,TMP00048739,2001,0
2026-06-22 12:00:00,TMP00048739,2401,0.1758
2026-06-22 12:00:00,TMP00048740,2001,0.2010
2026-06-22 12:00:00,TMP00048740,2401,14.2417
2026-06-22 12:00:00,TMP00048741,2001,0
2026-06-22 12:00:00,TMP00048741,2401,0
2026-06-22 12:00:00,TMP00048742,2001,0.4649
2026-06-22 12:00:00,TMP00048742,2401,27.0327
2026-06-22 12:00:00,TMP00048743,2001,1.5702
2026-06-22 12:00:00,TMP00048743,2401,88.8165
2026-06-22 12:00:00,TMP00048744,2001,1.6355
2026-06-22 12:00:00,TMP00048744,2401,98.3200
2026-06-22 12:00:00,TMP00048745,2001,0
2026-06-22 12:00:00,TMP00048745,2401,3.3728
2026-06-22 12:00:00,TMP00048746,2001,0.4748
2026-06-22 12:00:00,TMP00048746,2401,87.8839
2026-06-22 12:00:00,TMP00048747,2001,0.0870
2026-06-22 12:00:00,TMP00048747,2401,14.3027
2026-06-22 12:00:00,TMP00048748,2001,3.4089
2026-06-22 12:00:00,TMP00048748,2401,191.6225
2026-06-22 12:00:00,TMP00048749,2001,0
2026-06-22 12:00:00,TMP00048749,2401,1.4487
2026-06-22 12:00:00,TMP00048750,2001,-0.6848
2026-06-22 12:00:00,TMP00048750,2401,103.2946
2026-06-22 12:00:00,TMP00048752,2001,3.3725
2026-06-22 12:00:00,TMP00048752,2401,191.3865
2026-06-22 12:00:00,TMP00048753,2001,2.0521
2026-06-22 12:00:00,TMP00048753,2401,116.0440
2026-06-22 12:00:00,TMP00048754,2001,1.3181
2026-06-22 12:00:00,TMP00048754,2401,73.9886
2026-06-22 12:00:00,TMP00048755,2001,1.6686
2026-06-22 12:00:00,TMP00048755,2401,93.8579
2026-06-22 12:00:00,TMP00048756,2001,3.0018
2026-06-22 12:00:00,TMP00048756,2401,177.4903
2026-06-22 12:00:00,TMP00048757,2001,0
2026-06-22 12:00:00,TMP00048757,2401,4.0562
2026-06-22 12:00:00,TMP00048758,2001,0.1462
2026-06-22 12:00:00,TMP00048758,2401,8.6133
2026-06-22 12:00:00,TMP00048759,2001,1.6778
2026-06-22 12:00:00,TMP00048759,2401,96.6796
2026-06-22 12:00:00,TMP00048760,2001,0.1279
2026-06-22 12:00:00,TMP00048760,2401,9.3164
2026-06-22 12:00:00,TMP00048761,2001,0.8404
2026-06-22 12:00:00,TMP00048761,2401,46.7577
2026-06-22 12:00:00,TMP00048762,2001,0.4141
2026-06-22 12:00:00,TMP00048762,2401,24.6093
2026-06-22 12:00:00,TMP00048763,2001,0.8800
2026-06-22 12:00:00,TMP00048763,2401,48.6913
2026-06-22 12:00:00,TMP00048764,2001,2.7801
2026-06-22 12:00:00,TMP00048764,2401,155.5662
2026-06-22 12:00:00,TMP00048765,2001,0.3806
2026-06-22 12:00:00,TMP00048765,2401,28.3007
2026-06-22 12:00:00,TMP00048766,2001,1.3977
2026-06-22 12:00:00,TMP00048766,2401,76.9921
2026-06-22 12:00:00,TMP00048767,2001,0.3350
2026-06-22 12:00:00,TMP00048767,2401,18.9843
2026-06-22 12:00:00,TMP00048768,2001,0.0857
2026-06-22 12:00:00,TMP00048768,2401,5.9772
2026-06-22 12:00:00,TMP00048769,2001,0.0670
2026-06-22 12:00:00,TMP00048769,2401,1.4945
2026-06-22 12:00:00,TMP00048770,2001,2.5925
2026-06-22 12:00:00,TMP00048770,2401,142.5900
2026-06-22 12:00:00,TMP00048771,2001,0.6649
2026-06-22 12:00:00,TMP00048771,2401,39.2079
2026-06-22 12:00:00,TMP00048772,2001,1.2302
2026-06-22 12:00:00,TMP00048772,2401,70.5054
2026-06-22 12:00:00,TMP00048773,2001,0.4933
2026-06-22 12:00:00,TMP00048773,2401,27.0769
2026-06-22 12:00:00,TMP00048774,2001,1.1773
2026-06-22 12:00:00,TMP00048774,2401,66.8116
2026-06-22 12:00:00,TMP00048775,2001,0.8632
2026-06-22 12:00:00,TMP00048775,2401,53.2735
2026-06-22 12:00:00,TMP00048776,2001,1.4213
2026-06-22 12:00:00,TMP00048776,2401,82.6354
2026-06-22 12:00:00,TMP00048777,2001,0.9760
2026-06-22 12:00:00,TMP00048777,2401,56.2637
2026-06-22 12:00:00,TMP00048778,2001,2.0222
