"""ID""","""POINT"""
TMP00046783,1
TMP00046784,0
TMP00046785,1
TMP00046786,1
TMP00046787,1
TMP00046788,0
TMP00046789,1
TMP00046790,1
TMP00046791,1
TMP00046792,1
TMP00046793,1
TMP00046794,1
TMP00046795,1
TMP00046796,1
TMP00046797,1
TMP00046798,0
TMP00046799,1
TMP00046800,0
TMP00046801,1
TMP00046802,1
TMP00046803,1
TMP00046804,1
TMP00046805,1
TMP00046806,1
TMP00046807,1
TMP00046808,1
TMP00046809,0
TMP00046810,1
TMP00046811,1
TMP00046812,0
TMP00046813,1
TMP00046814,1
TMP00046815,0
TMP00046816,1
TMP00046817,1
TMP00046818,1
TMP00046819,0
TMP00046820,1
TMP00046821,1
TMP00046822,0
TMP00046823,0
TMP00046824,1
TMP00046825,1
TMP00046826,1
TMP00046827,1
TMP00046828,1
TMP00046829,1
TMP00046830,1
TMP00046831,1
TMP00046832,1
TMP00046833,1
TMP00046834,1
TMP00046835,1
TMP00046836,1
TMP00046837,0
TMP00046838,1
TMP00046839,0
TMP00046840,1
TMP00046841,0
TMP00046842,1
TMP00046843,1
TMP00046844,1
TMP00046845,1
TMP00046846,1
TMP00046847,1
TMP00046848,1
TMP00046849,1
TMP00046850,1
TMP00046851,0
TMP00046852,0
TMP00046853,1
TMP00046854,1
TMP00046855,1
TMP00046856,1
TMP00046857,1
TMP00046858,1
TMP00046859,1
TMP00046860,1
TMP00046861,1
TMP00046862,1
TMP00046863,1
TMP00046864,1
TMP00046865,1
TMP00046866,0
TMP00046867,1
TMP00046868,1
TMP00046869,0
TMP00046870,0
TMP00046871,0
TMP00046872,0
TMP00046873,0
TMP00046874,0
TMP00046875,0
TMP00046876,0
TMP00046877,0
TMP00046878,0
TMP00046879,0
TMP00046880,0
TMP00046881,1
TMP00046882,1
TMP00046883,0
TMP00046884,1
TMP00046885,1
TMP00046886,0
TMP00046887,1
TMP00046888,1
TMP00046889,1
TMP00046890,0
TMP00046891,1
TMP00046892,1
TMP00046893,1
TMP00046894,0
TMP00046895,0
TMP00046896,0
TMP00046897,1
TMP00046898,1
TMP00046899,1
TMP00046900,1
TMP00046901,1
TMP00046902,1
TMP00046903,1
TMP00046904,1
TMP00046905,1
TMP00046906,1
TMP00046907,1
TMP00046908,1
TMP00046909,1
TMP00046910,0
TMP00046911,0
TMP00046912,1
TMP00046913,1
TMP00046914,1
TMP00046915,1
TMP00046916,1
TMP00046917,1
TMP00046918,1
TMP00046919,1
TMP00046920,1
TMP00046921,1
TMP00046922,1
TMP00046923,0
TMP00046924,0
TMP00046925,0
TMP00046926,0
TMP00046927,0
TMP00046928,0
TMP00046929,0
TMP00046930,0
TMP00046931,0
TMP00046932,0
TMP00046933,0
TMP00046934,0
TMP00046935,1
TMP00046936,1
TMP00046937,1
TMP00046938,1
TMP00046939,1
TMP00046940,1
TMP00046941,1
TMP00046942,1
TMP00046943,0
TMP00046944,1
TMP00046945,1
TMP00046946,1
TMP00046947,0
TMP00046948,1
TMP00046949,0
TMP00046950,1
TMP00046951,0
TMP00046952,1
TMP00046953,1
TMP00046954,1
TMP00046955,1
TMP00046956,1
TMP00046957,1
TMP00046958,1
TMP00046959,1
TMP00046960,1
TMP00046961,1
TMP00046962,0
TMP00046963,1
TMP00046964,1
TMP00046965,0
TMP00046966,0
TMP00046967,0
TMP00046968,0
TMP00046969,0
TMP00046970,0
TMP00046971,0
TMP00046972,0
TMP00046973,1
TMP00046974,1
TMP00046975,1
TMP00046976,1
TMP00046977,1
TMP00046978,1
TMP00046979,1
TMP00046980,0
TMP00046981,0
TMP00046982,0
TMP00046983,1
TMP00046984,1
TMP00046985,1
TMP00046986,0
TMP00046987,0
TMP00046988,1
TMP00046989,1
TMP00046990,1
TMP00046991,1
TMP00046992,1
TMP00046993,1
TMP00046994,1
TMP00046995,1
TMP00046996,1
TMP00046997,1
TMP00046998,1
TMP00046999,1
TMP00047000,1
TMP00047001,1
TMP00047002,1
TMP00047003,1
TMP00047004,1
TMP00047005,1
TMP00047006,0
TMP00047007,0
TMP00047008,1
TMP00047009,1
TMP00047010,0
TMP00047011,1
TMP00047012,1
TMP00047013,1
TMP00047014,1
TMP00047015,1
TMP00047016,1
TMP00047017,1
TMP00047018,1
TMP00047019,0
TMP00047020,1
TMP00047021,0
TMP00047022,0
TMP00047023,1
TMP00047024,1
TMP00047025,1
TMP00047026,1
TMP00047027,1
TMP00047028,1
TMP00047029,1
TMP00047030,1
TMP00047031,1
TMP00047032,1
TMP00047033,1
TMP00047034,1
TMP00047035,1
TMP00047036,1
TMP00047037,1
TMP00047038,1
TMP00047039,1
TMP00047040,1
TMP00047041,1
TMP00047042,0
TMP00047043,0
TMP00047044,0
TMP00047045,1
TMP00047046,0
TMP00047047,0
