SOURCE,TARGET,CONNECTIVITYNODE
TMP00035797,TMP00004659,-7796410
TMP00035797,TMP00004661,-7796410
TMP00035797,TMP00003760,-7796410
TMP00035797,TMP00004660,-7796410
TMP00004659,TMP00004661,-7796410
TMP00004659,TMP00003760,-7796410
TMP00004659,TMP00004660,-7796410
TMP00004661,TMP00003760,-7796410
TMP00004661,TMP00004660,-7796410
TMP00003760,TMP00004660,-7796410
TMP00035798,TMP00018502,-7782272
TMP00035799,TMP00018490,-7782277
TMP00035799,TMP00018491,-7782277
TMP00018490,TMP00018491,-7782277
TMP00035800,TMP00004683,-7796321
TMP00035800,TMP00004684,-7796321
TMP00035800,TMP00004685,-7796321
TMP00035800,TMP00004686,-7796321
TMP00035800,TMP00012222,-7796321
TMP00004683,TMP00004684,-7796321
TMP00004683,TMP00004685,-7796321
TMP00004683,TMP00004686,-7796321
TMP00004683,TMP00012222,-7796321
TMP00004684,TMP00004685,-7796321
TMP00004684,TMP00004686,-7796321
TMP00004684,TMP00012222,-7796321
TMP00004685,TMP00004686,-7796321
TMP00004685,TMP00012222,-7796321
TMP00004686,TMP00012222,-7796321
TMP00035801,TMP00004688,-7796320
TMP00035801,TMP00004689,-7796320
TMP00035801,TMP00004691,-7796320
TMP00035801,TMP00004687,-7796320
TMP00035801,TMP00004690,-7796320
TMP00004688,TMP00004689,-7796320
TMP00004688,TMP00004691,-7796320
TMP00004688,TMP00004687,-7796320
TMP00004688,TMP00004690,-7796320
TMP00004689,TMP00004691,-7796320
TMP00004689,TMP00004687,-7796320
TMP00004689,TMP00004690,-7796320
TMP00004691,TMP00004687,-7796320
TMP00004691,TMP00004690,-7796320
TMP00004687,TMP00004690,-7796320
TMP00035802,TMP00008777,-7783598
TMP00035802,TMP00008778,-7783598
TMP00035802,TMP00008779,-7783598
TMP00035802,TMP00008780,-7783598
TMP00035802,TMP00008781,-7783598
TMP00035802,TMP00008782,-7783598
TMP00035802,TMP00008783,-7783598
TMP00008777,TMP00008778,-7783598
TMP00008777,TMP00008779,-7783598
TMP00008777,TMP00008780,-7783598
TMP00008777,TMP00008781,-7783598
TMP00008777,TMP00008782,-7783598
TMP00008777,TMP00008783,-7783598
TMP00008778,TMP00008779,-7783598
TMP00008778,TMP00008780,-7783598
TMP00008778,TMP00008781,-7783598
TMP00008778,TMP00008782,-7783598
TMP00008778,TMP00008783,-7783598
TMP00008779,TMP00008780,-7783598
TMP00008779,TMP00008781,-7783598
TMP00008779,TMP00008782,-7783598
TMP00008779,TMP00008783,-7783598
TMP00008780,TMP00008781,-7783598
TMP00008780,TMP00008782,-7783598
TMP00008780,TMP00008783,-7783598
TMP00008781,TMP00008782,-7783598
TMP00008781,TMP00008783,-7783598
TMP00008782,TMP00008783,-7783598
TMP00035803,TMP00018492,-7782283
TMP00035803,TMP00018493,-7782283
TMP00018492,TMP00018493,-7782283
TMP00035805,TMP00018491,-7782281
TMP00035805,TMP00018507,-7782281
TMP00018491,TMP00018507,-7782281
TMP00035807,TMP00032035,-7782279
TMP00035807,TMP00018492,-7782279
TMP00032035,TMP00018492,-7782279
TMP00035808,TMP00018501,-7782278
TMP00035808,TMP00018493,-7782278
TMP00018501,TMP00018493,-7782278
TMP00035809,TMP00030318,-7782276
TMP00035809,TMP00018501,-7782276
TMP00030318,TMP00018501,-7782276
TMP00035810,TMP00018494,-7782275
TMP00035810,TMP00018503,-7782275
TMP00018494,TMP00018503,-7782275
TMP00035811,TMP00018503,-7782274
TMP00035811,TMP00018515,-7782274
TMP00018503,TMP00018515,-7782274
TMP00035812,TMP00018506,-7782273
TMP00035812,TMP00018495,-7782273
TMP00018506,TMP00018495,-7782273
TMP00035813,TMP00018496,-7782271
TMP00035813,TMP00018502,-7782271
TMP00018496,TMP00018502,-7782271
TMP00035814,TMP00018508,-7782270
TMP00035814,TMP00018496,-7782270
TMP00018508,TMP00018496,-7782270
TMP00035815,TMP00018497,-7782269
TMP00035815,TMP00018508,-7782269
TMP00018497,TMP00018508,-7782269
TMP00035816,TMP00004656,-7796418
TMP00035816,TMP00015137,-7796418
TMP00035816,TMP00004650,-7796418
TMP00035816,TMP00004651,-7796418
TMP00035816,TMP00004655,-7796418
TMP00004656,TMP00015137,-7796418
TMP00004656,TMP00004650,-7796418
TMP00004656,TMP00004651,-7796418
