FEEDER_ID,馈线设备数量,端子节点数量,匹配主网节点数量,是否连接主网,状态
TMP00000001,248,191,1,1,正常电源路径
TMP00000002,245,161,1,1,正常电源路径
TMP00000003,218,170,1,1,正常电源路径
TMP00000004,92,75,1,1,正常电源路径
TMP00000005,235,175,1,1,正常电源路径
TMP00000006,677,415,1,1,正常电源路径
TMP00000007,262,162,1,1,正常电源路径
TMP00000008,109,70,1,1,正常电源路径
TMP00000009,388,246,1,1,正常电源路径
TMP00000010,453,295,1,1,正常电源路径
TMP00000011,438,300,1,1,正常电源路径
TMP00000012,235,140,0,0,未发现主网入口
TMP00000013,560,293,1,1,正常电源路径
TMP00000014,284,251,1,1,正常电源路径
TMP00000015,76,71,1,1,正常电源路径
TMP00000016,311,219,1,1,正常电源路径
TMP00000017,88,69,1,1,正常电源路径
TMP00000018,71,52,1,1,正常电源路径
TMP00000019,78,41,1,1,正常电源路径
TMP00000020,164,98,1,1,正常电源路径
TMP00000021,175,142,1,1,正常电源路径
TMP00000022,28,28,0,0,未发现主网入口
TMP00000023,89,89,0,0,未发现主网入口
TMP00000024,49,47,1,1,正常电源路径
TMP00000025,49,37,1,1,正常电源路径
TMP00000026,49,42,1,1,正常电源路径
TMP00000027,566,389,1,1,正常电源路径
TMP00000028,128,78,1,1,正常电源路径
TMP00000029,260,165,0,0,未发现主网入口
TMP00000030,165,137,0,0,未发现主网入口
TMP00000031,23,18,0,0,未发现主网入口
TMP00000032,128,91,1,1,正常电源路径
TMP00000033,180,123,1,1,正常电源路径
TMP00000034,516,283,1,1,正常电源路径
TMP00000035,187,146,0,0,未发现主网入口
TMP00000036,145,90,1,1,正常电源路径
TMP00000037,387,231,1,1,正常电源路径
TMP00000038,702,412,1,1,正常电源路径
TMP00000039,670,378,1,1,正常电源路径
TMP00000040,260,228,1,1,正常电源路径
TMP00000041,27,18,1,1,正常电源路径
TMP00000042,478,303,1,1,正常电源路径
TMP00000043,114,50,1,1,正常电源路径
TMP00000044,117,55,1,1,正常电源路径
TMP00000045,203,164,1,1,正常电源路径
TMP00000046,275,203,1,1,正常电源路径
TMP00000047,152,124,1,1,正常电源路径
TMP00000048,89,58,1,1,正常电源路径
TMP00000049,78,63,0,0,未发现主网入口
TMP00000050,272,198,1,1,正常电源路径
TMP00000051,199,154,1,1,正常电源路径
TMP00000052,357,316,1,1,正常电源路径
TMP00000053,22,17,0,0,未发现主网入口
TMP00000054,83,47,1,1,正常电源路径
TMP00000055,592,384,1,1,正常电源路径
TMP00000056,240,168,1,1,正常电源路径
TMP00000057,74,73,0,0,未发现主网入口
TMP00000058,75,63,1,1,正常电源路径
