EQUIP_ID,EQUIP_TYPE,ST_ID
TMP00046786,1321,TMP00000190
TMP00046787,1321,TMP00000190
TMP00046788,1321,TMP00000190
TMP00046789,1321,TMP00000190
TMP00046790,1321,TMP00000190
TMP00046791,1321,TMP00000190
TMP00046792,1321,TMP00000190
TMP00046793,1321,TMP00000190
TMP00046794,1321,TMP00000190
TMP00046795,1321,TMP00000190
TMP00046796,1321,TMP00000190
TMP00046797,1321,TMP00000190
TMP00046798,1321,TMP00000190
TMP00046800,1321,TMP00000193
TMP00046801,1321,TMP00000193
TMP00046802,1321,TMP00000193
TMP00046803,1321,TMP00000193
TMP00046804,1321,TMP00000193
TMP00046809,1321,TMP00000193
TMP00046810,1321,TMP00000193
TMP00046811,1321,TMP00000193
TMP00046812,1321,TMP00000193
TMP00046821,1321,TMP00000191
TMP00046822,1321,TMP00000191
TMP00046823,1321,TMP00000191
TMP00046824,1321,TMP00000191
TMP00046825,1321,TMP00000191
TMP00046826,1321,TMP00000191
TMP00046827,1321,TMP00000191
TMP00046828,1321,TMP00000191
TMP00046829,1321,TMP00000191
TMP00046830,1321,TMP00000191
TMP00046831,1321,TMP00000191
TMP00046832,1321,TMP00000191
TMP00046833,1321,TMP00000191
TMP00046834,1321,TMP00000191
TMP00046835,1321,TMP00000191
TMP00046836,1321,TMP00000191
TMP00046841,1321,TMP00000190
TMP00046842,1321,TMP00000190
TMP00046843,1321,TMP00000190
TMP00046844,1321,TMP00000190
TMP00046845,1321,TMP00000190
TMP00046846,1321,TMP00000190
TMP00046847,1321,TMP00000190
TMP00046848,1321,TMP00000190
TMP00046849,1321,TMP00000190
TMP00046850,1321,TMP00000190
TMP00046851,1321,TMP00000190
TMP00046852,1321,TMP00000190
TMP00046853,1321,TMP00000190
TMP00046854,1321,TMP00000190
TMP00046855,1321,TMP00000190
TMP00046856,1321,TMP00000190
TMP00046857,1321,TMP00000190
TMP00046858,1321,TMP00000190
TMP00046859,1321,TMP00000190
TMP00046860,1321,TMP00000190
TMP00046861,1321,TMP00000190
TMP00046863,1321,TMP00000193
TMP00046864,1321,TMP00000193
TMP00046866,1321,TMP00000193
TMP00046869,1321,TMP00000191
TMP00046870,1321,TMP00000191
TMP00046871,1321,TMP00000191
TMP00046872,1321,TMP00000191
TMP00046873,1321,TMP00000191
TMP00046874,1321,TMP00000191
TMP00046875,1321,TMP00000191
TMP00046876,1321,TMP00000191
TMP00046877,1321,TMP00000191
TMP00046878,1321,TMP00000191
TMP00046879,1321,TMP00000191
TMP00046880,1321,TMP00000191
TMP00046882,1321,TMP00000194
TMP00046897,1321,TMP00000194
TMP00046898,1321,TMP00000194
TMP00046899,1321,TMP00000194
TMP00046900,1321,TMP00000194
TMP00046901,1321,TMP00000194
TMP00046902,1321,TMP00000194
TMP00046903,1321,TMP00000194
TMP00046904,1321,TMP00000194
TMP00046905,1321,TMP00000194
TMP00046906,1321,TMP00000194
TMP00046907,1321,TMP00000194
TMP00046909,1321,TMP00000191
TMP00046910,1321,TMP00000191
TMP00046911,1321,TMP00000191
TMP00046912,1321,TMP00000191
TMP00046913,1321,TMP00000191
TMP00046914,1321,TMP00000191
TMP00046915,1321,TMP00000191
TMP00046916,1321,TMP00000191
TMP00046917,1321,TMP00000191
TMP00046918,1321,TMP00000191
TMP00046919,1321,TMP00000191
TMP00046920,1321,TMP00000191
TMP00046921,1321,TMP00000191
TMP00046922,1321,TMP00000191
TMP00046923,1321,TMP00000191
TMP00046924,1321,TMP00000191
TMP00046925,1321,TMP00000191
TMP00046926,1321,TMP00000191
TMP00046927,1321,TMP00000191
TMP00046928,1321,TMP00000191
TMP00046929,1321,TMP00000191
TMP00046930,1321,TMP00000191
TMP00046931,1321,TMP00000191
TMP00046932,1321,TMP00000191
TMP00046933,1321,TMP00000194
TMP00046934,1321,TMP00000194
TMP00046936,1321,TMP00000194
TMP00046937,1321,TMP00000194
TMP00046938,1321,TMP00000194
TMP00046939,1321,TMP00000194
TMP00046940,1321,TMP00000194
TMP00046941,1321,TMP00000194
TMP00046942,1321,TMP00000194
TMP00046943,1321,TMP00000194
TMP00046944,1321,TMP00000194
TMP00046945,1321,TMP00000194
TMP00046946,1321,TMP00000194
TMP00046947,1321,TMP00000194
TMP00046948,1321,TMP00000194
TMP00046951,1321,TMP00000191
TMP00046952,1321,TMP00000190
TMP00046953,1321,TMP00000190
TMP00046954,1321,TMP00000190
TMP00046955,1321,TMP00000190
TMP00046956,1321,TMP00000190
TMP00046957,1321,TMP00000190
TMP00046958,1321,TMP00000190
TMP00046959,1321,TMP00000190
TMP00046960,1321,TMP00000190
TMP00046961,1321,TMP00000190
TMP00046962,1321,TMP00000190
TMP00046974,1321,TMP00000193
TMP00046975,1321,TMP00000193
TMP00046976,1321,TMP00000193
TMP00046977,1321,TMP00000193
TMP00046978,1321,TMP00000193
TMP00046979,1321,TMP00000193
TMP00046980,1321,TMP00000193
TMP00046981,1321,TMP00000193
TMP00046988,1321,TMP00000193
TMP00046989,1321,TMP00000193
TMP00046990,1321,TMP00000193
TMP00046991,1321,TMP00000193
TMP00046992,1321,TMP00000192
TMP00046993,1321,TMP00000192
TMP00046994,1321,TMP00000192
TMP00046995,1321,TMP00000192
TMP00046996,1321,TMP00000192
TMP00046997,1321,TMP00000192
TMP00046998,1321,TMP00000192
TMP00046999,1321,TMP00000192
TMP00047000,1321,TMP00000192
TMP00047001,1321,TMP00000192
TMP00047002,1321,TMP00000192
TMP00047003,1321,TMP00000192
TMP00047004,1321,TMP00000192
TMP00047005,1321,TMP00000192
TMP00047006,1321,TMP00000192
TMP00047007,1321,TMP00000192
TMP00047008,1321,TMP00000192
TMP00047009,1321,TMP00000192
TMP00047010,1321,TMP00000192
TMP00047011,1321,TMP00000193
TMP00047012,1321,TMP00000193
TMP00047013,1321,TMP00000193
TMP00047014,1321,TMP00000193
TMP00047015,1321,TMP00000193
TMP00047016,1321,TMP00000193
TMP00047017,1321,TMP00000193
TMP00047018,1321,TMP00000193
TMP00047025,1321,TMP00000192
TMP00047026,1321,TMP00000192
TMP00047028,1321,TMP00000192
TMP00047029,1321,TMP00000192
TMP00047030,1321,TMP00000192
TMP00047031,1321,TMP00000192
TMP00047032,1321,TMP00000192
TMP00047033,1321,TMP00000192
TMP00047034,1321,TMP00000192
TMP00047035,1321,TMP00000192
TMP00047036,1321,TMP00000192
TMP00047037,1321,TMP00000192
TMP00047038,1321,TMP00000192
TMP00047039,1321,TMP00000192
TMP00047040,1321,TMP00000192
TMP00047041,1321,TMP00000192
TMP00047042,1321,TMP00000192
TMP00047043,1321,TMP00000192
TMP00047044,1321,TMP00000192
TMP00047045,1321,TMP00000192
TMP00047046,1321,TMP00000192
TMP00047053,1321,TMP00000195
TMP00047055,1321,TMP00000195
TMP00047056,1321,TMP00000195
TMP00047057,1321,TMP00000195
TMP00047058,1321,TMP00000195
TMP00047059,1321,TMP00000195
TMP00047060,1321,TMP00000195
TMP00047061,1321,TMP00000195
TMP00047062,1321,TMP00000195
TMP00047063,1321,TMP00000195
TMP00047064,1321,TMP00000195
TMP00047065,1321,TMP00000195
TMP00047066,1321,TMP00000195
TMP00047067,1321,TMP00000195
TMP00047068,1321,TMP00000195
TMP00047069,1321,TMP00000195
TMP00047070,1321,TMP00000195
TMP00047071,1321,TMP00000195
TMP00047072,1321,TMP00000195
TMP00047073,1321,TMP00000195
TMP00047074,1321,TMP00000195
TMP00047075,1321,TMP00000195
TMP00047076,1321,TMP00000195
TMP00047077,1321,TMP00000195
TMP00047078,1321,TMP00000195
TMP00047079,1321,TMP00000195
TMP00047080,1321,TMP00000195
TMP00047081,1321,TMP00000195
TMP00047082,1321,TMP00000195
TMP00047083,1321,TMP00000195
TMP00047084,1321,TMP00000195
TMP00047085,1321,TMP00000195
TMP00047086,1321,TMP00000195
TMP00047087,1321,TMP00000195
TMP00047088,1321,TMP00000191
TMP00047089,1321,TMP00000191
TMP00047090,1321,TMP00000191
TMP00047091,1321,TMP00000191
TMP00047092,1321,TMP00000191
TMP00047093,1321,TMP00000191
TMP00047094,1321,TMP00000191
TMP00047095,1321,TMP00000191
TMP00047096,1321,TMP00000191
TMP00047097,1321,TMP00000191
TMP00047098,1321,TMP00000191
TMP00047099,1321,TMP00000191
TMP00047100,1321,TMP00000191
TMP00047101,1321,TMP00000191
TMP00047102,1321,TMP00000191
TMP00047103,1321,TMP00000191
TMP00047104,1321,TMP00000191
TMP00047105,1321,TMP00000191
TMP00047106,1321,TMP00000191
TMP00047107,1321,TMP00000191
TMP00047108,1321,TMP00000191
TMP00047110,1321,TMP00000196
TMP00047111,1321,TMP00000196
TMP00047117,1321,TMP00000196
TMP00047118,1321,TMP00000196
TMP00047119,1321,TMP00000196
TMP00047120,1321,TMP00000196
TMP00047121,1321,TMP00000196
TMP00047122,1321,TMP00000196
TMP00047123,1321,TMP00000196
TMP00047124,1321,TMP00000196
TMP00047125,1321,TMP00000196
TMP00047126,1321,TMP00000196
TMP00047127,1321,TMP00000196
TMP00047128,1321,TMP00000196
TMP00047129,1321,TMP00000196
TMP00047130,1321,TMP00000196
TMP00047131,1321,TMP00000196
TMP00047132,1321,TMP00000196
TMP00047133,1321,TMP00000196
TMP00047134,1321,TMP00000196
TMP00047135,1321,TMP00000196
TMP00047136,1321,TMP00000196
TMP00047137,1321,TMP00000196
TMP00047138,1321,TMP00000196
TMP00047139,1321,TMP00000196
TMP00047140,1321,TMP00000196
TMP00047148,1321,TMP00000196
TMP00047149,1321,TMP00000196
TMP00047153,1321,TMP00000196
TMP00047154,1321,TMP00000196
TMP00047155,1321,TMP00000196
TMP00047156,1321,TMP00000196
TMP00047157,1321,TMP00000196
TMP00047158,1321,TMP00000196
TMP00047159,1321,TMP00000196
TMP00047160,1321,TMP00000196
TMP00047161,1321,TMP00000196
TMP00047162,1321,TMP00000196
TMP00047163,1321,TMP00000196
TMP00047164,1321,TMP00000196
TMP00047165,1321,TMP00000196
TMP00047166,1321,TMP00000196
TMP00047173,1321,TMP00000197
TMP00047175,1321,TMP00000197
TMP00047176,1321,TMP00000197
TMP00047177,1321,TMP00000197
TMP00047178,1321,TMP00000197
TMP00047179,1321,TMP00000197
TMP00047180,1321,TMP00000197
TMP00047181,1321,TMP00000197
TMP00047182,1321,TMP00000197
TMP00047183,1321,TMP00000197
TMP00047184,1321,TMP00000197
TMP00047185,1321,TMP00000197
TMP00047186,1321,TMP00000197
TMP00047187,1321,TMP00000197
TMP00047188,1321,TMP00000197
TMP00047189,1321,TMP00000197
TMP00047190,1321,TMP00000197
TMP00047191,1321,TMP00000197
TMP00047192,1321,TMP00000197
TMP00047193,1321,TMP00000197
TMP00047194,1321,TMP00000197
TMP00047195,1321,TMP00000197
TMP00047196,1321,TMP00000197
TMP00047197,1321,TMP00000197
TMP00047198,1321,TMP00000197
TMP00047199,1321,TMP00000197
TMP00047200,1321,TMP00000197
TMP00047201,1321,TMP00000197
TMP00047202,1321,TMP00000197
TMP00047203,1321,TMP00000197
TMP00047204,1321,TMP00000197
TMP00047205,1321,TMP00000197
TMP00047206,1321,TMP00000197
TMP00047207,1321,TMP00000197
TMP00047208,1321,TMP00000197
TMP00047209,1321,TMP00000197
TMP00047211,1321,TMP00000196
TMP00047212,1321,TMP00000196
TMP00047214,1321,TMP00000196
TMP00047215,1321,TMP00000196
TMP00047216,1321,TMP00000196
TMP00047217,1321,TMP00000196
TMP00047218,1321,TMP00000196
TMP00047219,1321,TMP00000196
TMP00047220,1321,TMP00000196
TMP00047221,1321,TMP00000196
TMP00047222,1321,TMP00000196
TMP00047223,1321,TMP00000196
TMP00047224,1321,TMP00000196
TMP00047225,1321,TMP00000196
TMP00047226,1321,TMP00000196
TMP00047227,1321,TMP00000196
