EQUIP_ID,EQUIP_NAME,FEEDER_ID,DSUBSTATION_ID,HAS_SOURCE,SOURCE_TYPE
TMP00016059,馈线段XX,TMP00000013,TMP00003683,1,MAIN_BUS
TMP00016124,馈线段XX,TMP00000015,TMP00003683,1,MAIN_BUS
TMP00016127,馈线段XX,TMP00000017,TMP00003683,1,MAIN_BUS
TMP00016129,馈线段XX,TMP00000018,TMP00003683,1,MAIN_BUS
TMP00016134,馈线段XX,TMP00000019,TMP00003683,1,MAIN_BUS
TMP00016144,馈线段XX,TMP00000021,TMP00003683,1,MAIN_BUS
TMP00016263,馈线段XX,TMP00000014,TMP00003683,1,MAIN_BUS
TMP00016290,馈线段XX,TMP00000024,TMP00003683,1,MAIN_BUS
TMP00016339,馈线段XX,TMP00000008,TMP00003683,1,MAIN_BUS
TMP00016450,馈线段XX,TMP00000027,TMP00003683,1,MAIN_BUS
TMP00016458,馈线段XX,TMP00000028,TMP00003683,1,MAIN_BUS
TMP00017428,馈线段XX,TMP00000033,TMP00003683,1,MAIN_BUS
TMP00017473,馈线段XX,TMP00000002,TMP00003683,1,MAIN_BUS
TMP00017598,馈线段XX,TMP00000041,TMP00003683,1,MAIN_BUS
TMP00017605,馈线段XX,TMP00000044,TMP00003683,1,MAIN_BUS
TMP00017607,馈线段XX,TMP00000025,TMP00003683,1,MAIN_BUS
TMP00017613,馈线段XX,TMP00000026,TMP00003683,1,MAIN_BUS
TMP00017637,馈线段XX,TMP00000048,TMP00003683,1,MAIN_BUS
TMP00017787,馈线段XX,TMP00000136,TMP00003683,1,MAIN_BUS
TMP00017872,馈线段XX,TMP00000051,TMP00003683,1,MAIN_BUS
TMP00017966,馈线段XX,TMP00000040,TMP00003683,1,MAIN_BUS
TMP00018166,馈线段XX,TMP00000052,TMP00003683,1,MAIN_BUS
TMP00018194,馈线段XX,TMP00000054,TMP00003683,1,MAIN_BUS
TMP00018239,馈线段XX,TMP00000056,TMP00003683,1,MAIN_BUS
TMP00018275,馈线段XX,TMP00000045,TMP00003683,1,MAIN_BUS
TMP00018375,馈线段XX,TMP00000009,TMP00003683,1,MAIN_BUS
TMP00018386,馈线段XX,TMP00000058,TMP00003683,1,MAIN_BUS
TMP00018392,馈线段XX,TMP00000059,TMP00003683,1,MAIN_BUS
TMP00018410,馈线段XX,TMP00000060,TMP00003683,1,MAIN_BUS
TMP00018488,馈线段XX,TMP00000063,TMP00003683,1,MAIN_BUS
TMP00018525,馈线段XX,TMP00000064,TMP00003683,1,MAIN_BUS
TMP00018600,馈线段XX,TMP00000050,TMP00003683,1,MAIN_BUS
TMP00018602,馈线段XX,TMP00000065,TMP00003683,1,MAIN_BUS
TMP00018603,馈线段XX,TMP00000066,TMP00003683,1,MAIN_BUS
TMP00018633,馈线段XX,TMP00000042,TMP00003683,1,MAIN_BUS
