ID,EQUIP_ID,CONNECTIVITYNODE_ID
TMP00049083,TMP00035797,-7796410
TMP00049084,TMP00035798,-7782272
TMP00049085,TMP00035799,-7782277
TMP00049086,TMP00035800,-7796321
TMP00049087,TMP00035801,-7796320
TMP00049088,TMP00035802,-7783598
TMP00049089,TMP00035803,-7782283
TMP00049090,TMP00035805,-7782281
TMP00049091,TMP00035806,-7782280
TMP00049092,TMP00035807,-7782279
TMP00049093,TMP00035808,-7782278
TMP00049094,TMP00035809,-7782276
TMP00049095,TMP00035810,-7782275
TMP00049096,TMP00035811,-7782274
TMP00049097,TMP00035812,-7782273
TMP00049098,TMP00035813,-7782271
TMP00049099,TMP00035814,-7782270
TMP00049100,TMP00035815,-7782269
TMP00049101,TMP00035816,-7796418
TMP00049102,TMP00035817,-7796414
TMP00049103,TMP00035818,-7796396
TMP00049104,TMP00035819,-7796405
TMP00049105,TMP00035820,-7796401
TMP00049106,TMP00035821,-8427240
TMP00049107,TMP00035822,-8427239
TMP00049108,TMP00035823,-8479300
TMP00049109,TMP00035824,-8427250
TMP00049110,TMP00035825,-8427249
TMP00049111,TMP00035826,-8427248
TMP00049112,TMP00035827,-8427247
TMP00049113,TMP00035828,-8427246
TMP00049114,TMP00035829,-8427245
TMP00049115,TMP00035830,-8427244
TMP00049116,TMP00035831,-8427243
TMP00049117,TMP00035832,-8427242
TMP00049118,TMP00035833,-8427241
TMP00049119,TMP00035834,-8543991
TMP00049120,TMP00035835,-8427100
TMP00049122,TMP00035837,-8543964
TMP00049123,TMP00035838,-8543963
TMP00049124,TMP00035839,-8543962
TMP00049125,TMP00035840,-8543961
TMP00049126,TMP00035841,-8427099
TMP00049127,TMP00035842,-8427098
TMP00049129,TMP00035844,-8427097
TMP00049130,TMP00035845,-8543951
TMP00049131,TMP00035846,-8427096
TMP00049133,TMP00035848,-8426896
TMP00049134,TMP00035849,-8426931
TMP00049136,TMP00035852,-7781067
TMP00049137,TMP00035853,-7800961
TMP00049139,TMP00035855,-7784849
TMP00049140,TMP00035856,-8451262
TMP00049141,TMP00035857,-8426697
TMP00049142,TMP00035858,-7785024
TMP00049143,TMP00035859,-8426696
TMP00049144,TMP00035860,-7777728
TMP00049145,TMP00035861,-7778838
TMP00049146,TMP00035862,-7778839
TMP00049147,TMP00035863,-7778840
TMP00049148,TMP00035864,-7778837
TMP00049150,TMP00035866,-7782931
TMP00049152,TMP00035868,-7778494
TMP00049153,TMP00035869,-142763373
TMP00049154,TMP00035870,-8531092
TMP00049155,TMP00035871,-8531597
TMP00049156,TMP00035872,-7778420
TMP00049158,TMP00035874,-8531153
TMP00049159,TMP00035875,-7778498
TMP00049160,TMP00035876,-7778489
TMP00049161,TMP00035877,-8531106
TMP00049162,TMP00035878,-8531104
TMP00049163,TMP00035879,-8531582
TMP00049164,TMP00035880,-8425379
TMP00049165,TMP00035881,-8425378
TMP00049166,TMP00035882,-8425377
TMP00049167,TMP00035883,-8425376
TMP00049168,TMP00035884,-8425375
TMP00049169,TMP00035885,-8425374
TMP00049170,TMP00035886,-8531659
TMP00049171,TMP00035887,-8425362
TMP00049172,TMP00035888,-8425361
TMP00049173,TMP00035889,-8425360
TMP00049174,TMP00035890,-8425365
TMP00049175,TMP00035891,-8425364
TMP00049176,TMP00035892,-8425363
TMP00049177,TMP00035893,-142763713
TMP00049178,TMP00035894,-8531475
TMP00049179,TMP00035895,-8531474
TMP00049180,TMP00035896,-142763707
TMP00049181,TMP00035897,-8531471
TMP00049182,TMP00035898,-8425373
TMP00049183,TMP00035899,-8425372
TMP00049184,TMP00035900,-8425371
TMP00049185,TMP00035901,-8425370
TMP00049186,TMP00035902,-8425369
TMP00049187,TMP00035903,-8425368
TMP00049188,TMP00035904,-8425367
TMP00049189,TMP00035905,-8425366
TMP00049190,TMP00035906,-8425359
TMP00049191,TMP00035907,-8531205
TMP00049192,TMP00035908,-8425336
TMP00049193,TMP00035909,-8425325
TMP00049194,TMP00035910,-8539278
TMP00049195,TMP00035911,-8539273
TMP00049196,TMP00035912,-7775522
TMP00049197,TMP00035913,-7872383
TMP00049198,TMP00035914,-7784389
TMP00049199,TMP00035915,-7784383
TMP00049200,TMP00035916,-7784341
TMP00049201,TMP00035917,-7784353
TMP00049202,TMP00035918,-8424964
TMP00049203,TMP00035919,-8425030
TMP00049204,TMP00035920,-8425031
TMP00049205,TMP00035921,-7784384
TMP00049206,TMP00035922,-7784351
TMP00049207,TMP00035923,-8425002
TMP00049208,TMP00035924,-8424998
TMP00049209,TMP00035925,-8424967
TMP00049210,TMP00035926,-8425027
TMP00049211,TMP00035927,-8424971
TMP00049212,TMP00035928,-8424995
TMP00049213,TMP00035929,-8425007
TMP00049214,TMP00035930,-8425028
TMP00049215,TMP00035931,-8425264
TMP00049216,TMP00035932,-8425263
TMP00049217,TMP00035933,-8425262
TMP00049218,TMP00035934,-8425261
TMP00049223,TMP00035939,-8425258
TMP00049224,TMP00035940,-8425257
TMP00049225,TMP00035941,-8425251
TMP00049226,TMP00035942,-8425248
TMP00049227,TMP00035943,-8425194
TMP00049228,TMP00035944,-8425193
TMP00049229,TMP00035945,-8425232
TMP00049230,TMP00035946,-8425231
TMP00049231,TMP00035947,-8425226
TMP00049232,TMP00035948,-8425225
TMP00049233,TMP00035949,-8425220
TMP00049234,TMP00035950,-8425219
TMP00049235,TMP00035951,-8425216
TMP00049236,TMP00035952,-8425215
TMP00049237,TMP00035953,-8425095
TMP00049238,TMP00035954,-8425094
TMP00049239,TMP00035955,-8425081
TMP00049240,TMP00035956,-8425080
TMP00049241,TMP00035957,-8425069
TMP00049242,TMP00035958,-8425068
TMP00049243,TMP00035959,-8425057
TMP00049244,TMP00035960,-8425056
TMP00049245,TMP00035961,-7784364
TMP00049246,TMP00035962,-8424983
TMP00049247,TMP00035963,-8424982
TMP00049248,TMP00035964,-8424957
TMP00049249,TMP00035965,-8424956
TMP00049251,TMP00035967,-7802246
TMP00049252,TMP00035968,-7802245
TMP00049254,TMP00035970,-7792867
TMP00049255,TMP00035971,-7792866
TMP00049256,TMP00035972,-7792865
TMP00049257,TMP00035973,-7792864
TMP00049258,TMP00035974,-8999161
TMP00049259,TMP00035975,-8526904
TMP00049260,TMP00035976,-8424690
TMP00049261,TMP00035977,-7781924
TMP00049262,TMP00035978,-7781922
TMP00049263,TMP00035980,-8999286
TMP00049264,TMP00035981,-8999285
TMP00049265,TMP00035982,-8999284
TMP00049266,TMP00035983,-7781938
TMP00049267,TMP00035984,-8999251
TMP00049268,TMP00035985,-8424667
TMP00049269,TMP00035986,-8496094
TMP00049270,TMP00035987,-8496093
TMP00049271,TMP00035988,-8496092
TMP00049272,TMP00035989,-8496091
TMP00049273,TMP00035991,-8534582
TMP00049274,TMP00035992,-7779342
TMP00049275,TMP00035993,-8534581
TMP00049276,TMP00035994,-7779341
TMP00049277,TMP00035995,-8534580
TMP00049278,TMP00035996,-7779340
TMP00049279,TMP00035997,-8534579
TMP00049280,TMP00035998,-7779339
TMP00049281,TMP00036000,-7779338
TMP00049282,TMP00036001,-8534577
TMP00049283,TMP00036002,-8533774
TMP00049284,TMP00036003,-8533773
TMP00049285,TMP00036004,-8533771
TMP00049287,TMP00036006,-8424659
TMP00049288,TMP00036007,-8533735
TMP00049289,TMP00036008,-8424658
TMP00049290,TMP00036009,-8532165
TMP00049291,TMP00036010,-8424589
TMP00049292,TMP00036011,-8424574
TMP00049293,TMP00036012,-8424573
TMP00049294,TMP00036013,-7783037
TMP00049296,TMP00036015,-7783036
TMP00049297,TMP00036016,-7783040
TMP00049298,TMP00036017,-7783039
TMP00049299,TMP00036018,-7783038
TMP00049300,TMP00036019,-8424592
TMP00049301,TMP00036020,-8424559
TMP00049302,TMP00036021,-7802244
TMP00049303,TMP00036022,-7802243
TMP00049304,TMP00036023,-7802242
TMP00049305,TMP00036024,-7802241
TMP00049306,TMP00036025,-7802240
TMP00049308,TMP00036027,-8506952
TMP00049309,TMP00036028,-8445642
