EQUIP_ID,EQUIP_NAME,TYPE,DEGREE
TMP00040818,刀闸0004,1708,1
TMP00005046,开关00005,1705,2
TMP00032670,用户0457,1719,1
TMP00185143,开关00204,1720,0
TMP00023507,馈线段XX,1702,2
TMP00027440,馈线段XX,1702,3
TMP00004875,开关00031,1705,5
TMP00139057,开关00345,1720,0
TMP00281866,开关00185,1720,0
TMP00017733,馈线段XX,1702,2
TMP00017175,馈线段XX,1702,2
TMP00009323,开关00163,1705,7
TMP00273936,开关00143,1720,0
TMP00011602,开关00092,1705,5
TMP00264145,开关00296,1720,0
TMP00019433,馈线段XX,1702,3
TMP00029306,馈线段XX,1702,4
TMP00046335,配变2112,1703,1
TMP00044834,馈线段XX,1702,5
TMP00015528,开关00221,1705,4
TMP00006343,开关00022,1705,5
TMP00010020,开关00007,1705,4
TMP00014945,开关00308,1705,6
TMP00045880,馈线段XX,1702,2
TMP00023157,馈线段XX,1702,2
TMP00140984,开关00277,1720,0
TMP00279934,开关00110,1720,0
TMP00030278,馈线段XX,1702,2
TMP00034060,配变0341,1703,1
TMP00023694,馈线段XX,1702,3
TMP00040954,刀闸0020,1708,1
TMP00020267,馈线段XX,1702,2
TMP00044123,开关00171,1706,4
TMP00013810,开关00185,1705,2
TMP00020927,馈线段XX,1702,4
TMP00025917,馈线段XX,1702,4
TMP00035004,配变1285,1703,1
TMP00173981,开关00081,1720,0
TMP00025260,馈线段XX,1702,4
TMP00174666,开关00114,1720,0
TMP00007216,开关00002,1705,0
TMP00020162,馈线段XX,1702,2
TMP00019676,馈线段XX,1702,2
TMP00033582,用户1369,1719,1
TMP00030174,馈线段XX,1702,4
TMP00004995,开关00151,1705,9
TMP00041081,刀闸0016,1708,2
TMP00030998,馈线段XX,1702,3
TMP00044230,开关00257,1706,4
TMP00020664,馈线段XX,1702,2
TMP00046150,馈线段XX,1702,3
TMP00147362,开关00022,1720,0
TMP00041553,刀闸0033,1708,3
TMP00034324,配变0605,1703,1
TMP00028201,馈线段XX,1702,3
TMP00035409,配变1690,1703,2
TMP00018714,馈线段XX,1702,2
TMP00033668,用户1455,1719,1
