component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
1,28748,26119,119,"TMP00000002,TMP00000067,TMP00000005,TMP00000127,TMP00000166,TMP00000076,TMP00000070,TMP00000129,TMP00000047,TMP00000013,TMP00000132,TMP00000008,TMP00000044,TMP00000050,TMP00000010,TMP00000125,TMP00000009,TMP00000099,TMP00000163,TMP00000034,TMP00000060,TMP00000156,TMP00000123,TMP00000136,TMP00000090,TMP00000135,TMP00000179,TMP00000058,TMP00000128,TMP00000104,TMP00000120,TMP00000137,TMP00000116,TMP00000093,TMP00000043,TMP00000072,TMP00000051,TMP00000106,TMP00000140,TMP00000078,TMP00000077,TMP00000073,TMP00000092,TMP00000134,TMP00000138,TMP00000139,TMP00000149,TMP00000133,TMP00000088,TMP00000115,TMP00000019,TMP00000011,TMP00000082,TMP00000065,TMP00000071,TMP00000080,TMP00000177,TMP00000012,TMP00000062,TMP00000114,TMP00000148,TMP00000094,TMP00000022,TMP00000164,TMP00000101,TMP00000024,TMP00000162,TMP00000084,TMP00000130,TMP00000158,TMP00000117,TMP00000126,TMP00000048,TMP00000064,TMP00000109,TMP00000061,TMP00000006,TMP00000066,TMP00000055,TMP00000027,TMP00000085,TMP00000170,TMP00000180,TMP00000105,TMP00000121,TMP00000052,TMP00000063,TMP00000103,TMP00000167,TMP00000039,TMP00000068,TMP00000131,TMP00000029,TMP00000059,TMP00000181,TMP00000069,TMP00000014,TMP00000079,TMP00000174,TMP00000155,TMP00000033,TMP00000147,TMP00000056,TMP00000007,TMP00000091,TMP00000157,TMP00000100,TMP00000081,TMP00000057,TMP00000021,TMP00000118,TMP00000038,TMP00000016,TMP00000089,TMP00000160,TMP00000003,TMP00000165,TMP00000098,TMP00000185",True,True
4,1634,1338,1,TMP00000189,False,True
5,2,1,1,TMP00000113,False,True
6,911,813,4,"TMP00000095,TMP00000086,TMP00000146,TMP00000096",True,True
7,582,533,4,"TMP00000032,TMP00000026,TMP00000046,TMP00000042",True,True
9,1,1,1,TMP00000121,True,True
10,90,87,2,"TMP00000004,TMP00000181",True,True
11,103,101,1,TMP00000168,True,True
14,224,204,1,TMP00000144,True,True
17,364,311,1,TMP00000108,False,False
22,890,743,1,TMP00000188,False,True
23,148,146,1,TMP00000035,False,False
24,727,671,5,"TMP00000052,TMP00000001,TMP00000040,TMP00000045,TMP00000028",True,True
25,20,20,1,TMP00000083,False,False
26,114,97,1,TMP00000145,True,True
27,1,1,1,TMP00000111,False,False
28,69,67,2,"TMP00000017,TMP00000118",True,True
30,292,266,1,TMP00000161,False,False
35,425,381,2,"TMP00000102,TMP00000113",True,True
38,190,167,1,TMP00000111,False,False
40,1,1,1,TMP00000002,True,True
41,51,51,1,TMP00000176,False,True
42,2,1,1,TMP00000025,True,True
44,330,307,1,TMP00000188,False,True
46,393,359,2,"TMP00000159,TMP00000122",True,True
48,327,299,3,"TMP00000121,TMP00000075,TMP00000074",True,True
51,310,262,1,TMP00000087,False,True
52,1,1,1,TMP00000021,True,True
56,95,86,1,TMP00000143,False,False
65,215,211,3,"TMP00000053,TMP00000049,TMP00000030",False,False
66,41,40,1,TMP00000169,False,False
67,1,1,1,TMP00000013,True,True
71,266,244,1,TMP00000037,False,True
73,75,72,3,"TMP00000041,TMP00000042,TMP00000025",True,True
74,1,1,1,TMP00000027,True,True
75,46,45,1,TMP00000024,True,True
83,7,7,1,TMP00000140,False,False
86,1,1,1,TMP00000052,True,True
90,84,79,2,"TMP00000045,TMP00000046",True,True
91,51,46,1,TMP00000160,True,True
103,72,71,1,TMP00000077,True,True
104,188,163,1,TMP00000119,True,True
105,1,1,1,TMP00000162,True,True
106,51,49,1,TMP00000018,True,True
108,1,1,1,TMP00000189,False,True
109,1,1,1,TMP00000140,False,False
110,7,5,1,TMP00000147,True,True
112,1,1,1,TMP00000092,True,True
115,194,178,2,"TMP00000113,TMP00000054",True,True
